Genus,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,CV10,CV11,CV12,CV13,CV14
Agapostemon,-15.28281948,0.941622434,4.594953234,1.386712218,1.882797637,-0.099191626,0.404742593,0.059247185,-1.143226827,-0.102556294,-0.030746049,-0.219831091,0.359052982,-0.044033599
Andrena,-6.802128489,5.326708281,-4.272222933,6.357372266,-3.594779428,-8.24065432,-5.532703038,-0.475348374,0.718710325,-0.269104246,0.511242843,-0.998102562,-0.518800177,-0.273698816
Anthophora,12.37204634,-13.15478311,-4.460127468,1.247046437,2.304389238,2.417288243,3.504952305,-3.310087566,1.522003142,-3.023392332,-2.653962512,-3.13117905,0.242038482,-0.051342499
Apis,11.85650197,11.03054048,-0.771261676,1.569726454,-0.376958886,1.364525379,0.090078821,0.08751452,-0.28747107,-0.027108289,0.232470104,0.054759801,0.037686965,-0.018891096
Bombus,6.619044201,-16.16380107,1.816711196,0.539669353,-3.12229217,0.237123921,-0.777142048,1.156072044,-0.225370847,0.336383271,-0.196365804,0.220130544,0.141529473,-0.10721338
Calliopsis,-9.552928705,6.558281437,-5.425314543,0.158938484,-0.176775731,-1.441573431,-0.792381309,-0.597270833,-0.463014772,4.257309598,-1.85364752,-1.790169411,-0.748864311,-0.514222694
Ceratina,-14.82117342,3.247936565,1.570005454,-2.102691919,-1.772757205,6.007180222,-1.418273151,2.160646935,0.043109329,1.079645456,-1.417323224,-0.20347011,-0.522837994,0.801311045
Diadasia,-3.568593457,-10.11443028,-5.115744267,-3.068692215,0.7680496,-1.570788268,-2.238590407,1.155138697,-5.607127441,-5.199176623,1.304489322,-0.360302819,-1.508856678,0.1120134
Eucera,-3.221791682,-4.724987151,-10.40355359,-4.111796629,-2.883435473,-0.15900296,-3.55778226,-6.457207055,-0.953189846,0.726162487,0.635238517,0.157457763,0.479695455,0.43497034
Habropoda,4.130395027,-17.37347938,-6.272842639,6.362756925,3.11240989,1.226853713,4.181383751,-1.026836537,1.139445691,-0.224877727,0.525144151,0.05248337,-0.344775655,0.247623019
Halictus,-15.79536745,-1.50324406,2.572025389,3.891492238,0.137296338,-0.907189045,1.957675168,-1.332071748,1.081265342,1.10143122,1.309817854,0.857958683,-0.416483661,0.05433779
Hesperapis,-11.69792548,9.11246031,-7.153452753,-4.715192996,-5.613040749,-3.190182575,6.853190179,-0.090741754,-0.221583709,-0.902593577,-1.327144867,0.978058516,-0.035791594,-0.158489356
Lasioglossum,-19.03136682,2.180129856,5.859852845,-4.90669006,-2.592770057,7.840724579,-2.227789101,-1.552177252,2.929144612,-1.970864862,1.152395757,-0.141795131,-0.268535277,-0.645415761
Megachile,-2.748399931,-0.922858366,-8.762712453,1.372441394,6.82675426,0.055234654,-4.857853731,-0.162206827,0.81868142,-0.934103677,-2.544974884,2.192534604,-0.043148656,-0.241521527
Osmia,-1.064889867,-3.927543644,-12.01168556,-6.021643481,3.850898885,-0.044663905,0.46638007,2.616722105,0.388969146,0.913306082,1.398432581,-0.434378115,0.176193802,-0.100619936
Panurginus,-11.14209252,9.07344488,-2.941144595,1.827221769,-2.427933894,-5.309919092,-2.345984539,3.108320998,3.11494208,-1.991498187,0.10010014,-0.608086072,0.452644084,0.530652805
Xylocopa,10.32563025,-0.481329978,9.053480238,-4.296224478,2.088419037,-2.865629381,0.180892216,-0.743420497,0.579102417,0.143241384,-0.120548893,0.041716869,-0.175226383,0.098136212
