"","LM1x","LM2x","LM3x","LM4x","LM5x","LM6x","LM7x","LM8x","LM9x","LM1y","LM2y","LM3y","LM4y","LM5y","LM6y","LM7y","LM8y","LM9y"
"Agapostemon",0.402261523417395,0.300308708954139,-0.0308970151208939,-0.115285752595738,-0.325908088474454,-0.488986898565972,0.010773606695018,0.0878714381619171,0.15986247752859,0.113511248026239,0.246101929962806,0.17767659654347,0.206732061278252,0.038114482702079,0.00654016444904314,-0.178854558329779,-0.294010585347534,-0.315811339284577
"Andrena",0.417693156532148,0.325724502332378,0.0378722825400925,-0.0914110562019412,-0.338718076358299,-0.485564084130908,-0.0297926692503393,0.0441641724766555,0.120031772060213,0.164056431260579,0.248126246481223,0.174695435817998,0.188959516372712,-0.00181606123150195,-0.0238902689461762,-0.130764048143928,-0.286264907999756,-0.333102343611149
"Anthophora",0.498078841555724,0.35051298235316,-0.0998224680767454,-0.214759306283833,-0.409649385002632,-0.430116516751043,0.0397192876952011,0.0841470036378765,0.181889560872291,0.115833856951183,0.180995923380586,0.0923102981054996,0.113245330781553,0.0329426532100391,0.0572422706655568,-0.0779307606195301,-0.22792277795977,-0.286716794515118
"Apis",0.482046983697728,0.299147373396483,0.0145227967795142,-0.159438174183295,-0.36009974175345,-0.443240908719069,-0.0443058647651429,0.0538088494774594,0.157558686069772,0.195994101334177,0.193410892878087,0.139323201401136,0.14532308919524,0.0359216842517088,0.020973312387237,-0.162367772030445,-0.257336965474761,-0.31124154394238
"Bombus",0.453040075091256,0.387549767808928,-0.100368569550754,-0.211213745646405,-0.368969338468071,-0.436808291964539,0.0216376114941134,0.0849303155393592,0.170202175696112,0.119941221667195,0.214750780323409,0.0998646858649632,0.125764515575825,0.0329176745886065,0.0522921399610949,-0.108061615533938,-0.235136592735124,-0.302332809712032
"Calliopsis",0.398893069464296,0.272958788986943,0.0268805496095783,-0.12493451998215,-0.352179992815474,-0.466420801021235,0.00279731136364463,0.0868319434318008,0.155173650962597,0.143005937920387,0.229197897328074,0.191740284042033,0.208035720944836,0.0279675114499504,0.00992481413353058,-0.15765979618175,-0.307502607883385,-0.344709761753678
"Ceratina",0.392567930625365,0.290675321369232,-0.0023965081195545,-0.121596884698625,-0.335689621678712,-0.494703372870842,0.0275358483576934,0.0954511198252496,0.148156167190193,0.139341174293554,0.217685511059528,0.185766030547529,0.209772728266422,0.0336487717809737,0.0140253957649127,-0.183037748238496,-0.288932292792468,-0.328269570681956
"Diadasia",0.446087705509006,0.32513724771818,-0.0710633058760967,-0.18611895252569,-0.345299738145014,-0.473428787021769,0.0389013211367733,0.0983643998899266,0.167420109314686,0.120058335282304,0.21177741709414,0.117863831654922,0.145401005546058,0.0461070233276714,0.0464980332506816,-0.0972533693574537,-0.279888165366566,-0.310564111431756
"Eucera",0.447748850625011,0.27362900151611,-0.0280448974292043,-0.166773241279098,-0.366409530477404,-0.44889453389162,0.0387345923888768,0.0866659148987488,0.163343843648579,0.144750178534658,0.210055508676862,0.141496974678975,0.164694869862864,0.0216771613151274,0.0554204194536462,-0.0948076275421593,-0.288886900590676,-0.354400584389298
"Habropoda",0.452866619798065,0.385900119625432,-0.0664439920687344,-0.20320468341048,-0.40478886047425,-0.442546429031073,0.0411664330038577,0.0748445761119974,0.162206216445186,0.0974902929604651,0.228765743315696,0.101084632069777,0.117640245949362,0.0219314502645485,0.0429011135036983,-0.0894034334567397,-0.237285730804253,-0.283124313802553
"Halictus",0.39324418971458,0.311128036510795,-0.01712748623107,-0.110347667593111,-0.340510094828778,-0.497367475352224,0.0171011170526455,0.0818190818084013,0.162060298918762,0.0994288477866765,0.252813102807828,0.175989776764335,0.205331187359325,0.0244841932209841,0.00436163116435537,-0.165056436574611,-0.283567798753974,-0.313784503774919
"Hesperapis",0.408863965197123,0.238360223529233,0.0339570087774385,-0.102690412747155,-0.368635897494264,-0.540909581099122,0.0189005969312815,0.12409829731561,0.188055799589855,0.0983618170818211,0.188544664224239,0.179633311903483,0.211221512830855,0.0323792908958608,0.00874871289615891,-0.129037238007175,-0.266465499997939,-0.323386571827303
"Lasioglossum",0.406133911490811,0.266892927028542,-0.0267175883940157,-0.109948874050169,-0.325540577145556,-0.515497146793806,0.0416775727613729,0.0966498660685975,0.166349909034223,0.122068353458693,0.205891616868361,0.187769179118048,0.221542465325053,0.0295740599237987,0.020847844462338,-0.184305468769418,-0.281994422715736,-0.321393627671139
"Megachile",0.449345355820449,0.32473146056945,-0.000376988184755217,-0.146470480889232,-0.375198607521366,-0.429572542761795,-0.00256172140712167,0.0608248041044752,0.119278720269896,0.179824163277832,0.225581728674672,0.147220622814514,0.16138687313885,0.00586597901716217,0.0272708167775724,-0.138845663176817,-0.296470034565605,-0.31183448595818
"Osmia",0.434655124846465,0.297982371892139,-0.00694412598984622,-0.196116497131004,-0.391454481859281,-0.448999000700588,0.0246669970749424,0.110187145436403,0.176022466430769,0.125208656391074,0.19632350651114,0.150294545286825,0.149420120880779,0.0265740711708587,0.0606393131980415,-0.113319595507892,-0.281570726592459,-0.313569891338368
"Panurginus",0.408403707916204,0.307196860532348,0.0469612881290331,-0.076387359713055,-0.349514586942596,-0.518830506519983,-0.0225067936930274,0.0714201364151732,0.133257253875903,0.145589821451215,0.221263066806484,0.191538235450721,0.201149570716809,-0.000501072522753864,-0.0229525425839477,-0.149730168824981,-0.274059156365535,-0.312297754128013
"Xylocopa",0.472003716282111,0.304924041271057,-0.10238061148159,-0.184148203767558,-0.345682640647642,-0.409900131606535,-0.0345037225406176,0.0868780058099636,0.212809546680811,0.146973758198405,0.20572887704265,0.130335219582659,0.153165539802338,0.0544981123448208,0.0664537822198947,-0.17258284921585,-0.27157184155914,-0.313000598415777
