"","Andrena","Calliopsis","Panurginus","Agapostemon","Halictus","Lasioglossum","Apis","Bombus","Diadasia","Eucera","Ceratina","Xylocopa","Anthophora","Habropoda","Megachile","Osmia","Hesperapis"
"Andrena",0,0.1883810973,0.2362996321,0.2885221257,0.2765840773,0.269974488,0.3047148033,0.2580666255,0.2904744153,0.2730345001,0.3457178427,0.2861451822,0.2688674457,0.2604032675,0.2785825493,0.2836406454,0.2670657802
"Calliopsis",0.1883810973,0,0.1638166596,0.2892482812,0.2773102328,0.2707006435,0.3054409588,0.258792781,0.2912005708,0.2737606556,0.3464439982,0.2868713377,0.2695936012,0.261129423,0.2793087048,0.2843668009,0.2677919357
"Panurginus",0.2362996321,0.1638166596,0,0.337166816,0.3252287676,0.3186191783,0.3533594936,0.3067113158,0.3391191056,0.3216791904,0.394362533,0.3347898725,0.317512136,0.3090479578,0.3272272396,0.3322853357,0.3157104705
"Agapostemon",0.2885221257,0.2892482812,0.337166816,0,0.0891560954,0.0825465061,0.344963199,0.2983150212,0.330722811,0.3132828958,0.3859662384,0.3263935779,0.3091158414,0.3006516632,0.318830945,0.3238890411,0.3073141759
"Halictus",0.2765840773,0.2773102328,0.3252287676,0.0891560954,0,0.0570774935,0.3330251506,0.2863769728,0.3187847626,0.3013448474,0.37402819,0.3144555295,0.297177793,0.2887136148,0.3068928966,0.3119509927,0.2953761275
"Lasioglossum",0.269974488,0.2707006435,0.3186191783,0.0825465061,0.0570774935,0,0.3264155613,0.2797673835,0.3121751733,0.2947352581,0.3674186007,0.3078459402,0.2905682037,0.2821040255,0.3002833073,0.3053414034,0.2887665382
"Apis",0.3047148033,0.3054409588,0.3533594936,0.344963199,0.3330251506,0.3264155613,0,0.1626293816,0.2411699362,0.223730021,0.2964133636,0.2368407031,0.234913737,0.2264495588,0.2886017264,0.2936598225,0.3072540889
"Bombus",0.2580666255,0.258792781,0.3067113158,0.2983150212,0.2863769728,0.2797673835,0.1626293816,0,0.1945217584,0.1770818432,0.2497651858,0.1901925253,0.1882655592,0.179801381,0.2419535486,0.2470116447,0.2606059111
"Diadasia",0.2904744153,0.2912005708,0.3391191056,0.330722811,0.3187847626,0.3121751733,0.2411699362,0.1945217584,0,0.163546872,0.274726393,0.2151537325,0.220673349,0.2122091708,0.2743613384,0.2794194345,0.2930137009
"Eucera",0.2730345001,0.2737606556,0.3216791904,0.3132828958,0.3013448474,0.2947352581,0.223730021,0.1770818432,0.163546872,0,0.2572864778,0.1977138173,0.2032334338,0.1947692556,0.2569214232,0.2619795193,0.2755737857
"Ceratina",0.3457178427,0.3464439982,0.394362533,0.3859662384,0.37402819,0.3674186007,0.2964133636,0.2497651858,0.274726393,0.2572864778,0,0.2493166503,0.2759167764,0.2674525982,0.3296047658,0.3346628619,0.3482571283
"Xylocopa",0.2861451822,0.2868713377,0.3347898725,0.3263935779,0.3144555295,0.3078459402,0.2368407031,0.1901925253,0.2151537325,0.1977138173,0.2493166503,0,0.2163441159,0.2078799377,0.2700321053,0.2750902014,0.2886844678
"Anthophora",0.2688674457,0.2695936012,0.317512136,0.3091158414,0.297177793,0.2905682037,0.234913737,0.1882655592,0.220673349,0.2032334338,0.2759167764,0.2163441159,0,0.0888800536,0.2527543688,0.2578124649,0.2714067313
"Habropoda",0.2604032675,0.261129423,0.3090479578,0.3006516632,0.2887136148,0.2821040255,0.2264495588,0.179801381,0.2122091708,0.1947692556,0.2674525982,0.2078799377,0.0888800536,0,0.2442901906,0.2493482867,0.2629425531
"Megachile",0.2785825493,0.2793087048,0.3272272396,0.318830945,0.3068928966,0.3002833073,0.2886017264,0.2419535486,0.2743613384,0.2569214232,0.3296047658,0.2700321053,0.2527543688,0.2442901906,0,0.1245907817,0.2811218349
"Osmia",0.2836406454,0.2843668009,0.3322853357,0.3238890411,0.3119509927,0.3053414034,0.2936598225,0.2470116447,0.2794194345,0.2619795193,0.3346628619,0.2750902014,0.2578124649,0.2493482867,0.1245907817,0,0.286179931
"Hesperapis",0.2670657802,0.2677919357,0.3157104705,0.3073141759,0.2953761275,0.2887665382,0.3072540889,0.2606059111,0.2930137009,0.2755737857,0.3482571283,0.2886844678,0.2714067313,0.2629425531,0.2811218349,0.286179931,0
